condition,nbin,feature,I_raw,I_null,I_corrected,n_used
pooled,2,F0,0.817018718507116,0.07647406715295618,0.7405446513541598,6300
pooled,2,jitter,0.3164615812142131,0.07637280469246559,0.24008877652174748,6300
pooled,2,shimmer,0.3462974317768204,0.07619531072243212,0.27010212105438824,6300
pooled,2,GCT,0.6283111058127613,0.07626010582043055,0.5520509999923308,6300
pooled,2,CQ,0.4821214967235399,0.07636145598133845,0.4057600407422014,6300
pooled,2,MFDR,0.6390153219229902,0.07612766288405486,0.5628876590389353,6300
pooled,2,SQ,0.2758489111612743,0.07669571406872994,0.19915319709254437,6300
pooled,2,NAQ,0.3217871687277096,0.076298375999148,0.2454887927285616,6300
pooled,2,SHR,0.7922214405636652,0.07664386328020249,0.7155775772834627,6300
pooled,2,IHI,0.7129994385884224,0.07599879872210707,0.6370006398663153,6300
pooled,2,VFI,0.5003763715237604,0.15928753072033197,0.3410888408034284,6300
pooled,2,semitone_SD_F0,0.3975945141862596,0.07645698996825868,0.3211375242180009,6300
pooled,2,F1,0.3761167452942953,0.07650267844478974,0.29961406684950553,6300
pooled,2,F2,0.33151892355937207,0.07586873209365129,0.25565019146572077,6300
pooled,2,F3,0.6029267473315407,0.07667081032279274,0.526255937008748,6300
pooled,2,F4,0.7199452118765102,0.07611121235377279,0.6438339995227373,6300
pooled,2,F5,0.6144058257625851,0.07627176412518102,0.5381340616374041,6300
pooled,2,B1,0.40494467217345864,0.07632864305447508,0.3286160291189836,6300
pooled,2,B2,0.6034427770185076,0.07596011939146713,0.5274826576270404,6300
pooled,2,B3,0.3628780543421719,0.0761338785098385,0.2867441758323334,6300
pooled,2,B4,0.3712204279837792,0.07650684152930126,0.2947135864544779,6300
pooled,2,B5,0.35113333688828874,0.07667557104737562,0.27445776584091314,6300
pooled,2,Nasality,0.3165550620339772,0.0803478884671727,0.2362071735668045,6195
pooled,2,spectral_skewness,0.3292303492941251,0.07671567390255807,0.252514675391567,6288
pooled,2,spectral_kurtosis,0.3051924136179984,0.0762962636814816,0.22889614993651683,6300
pooled,2,spectral_entropy,0.3325125234468267,0.07670790378531392,0.2558046196615128,6300
pooled,2,spectral_rolloff,0.22385028979967458,0.07689715796659394,0.14695313183308065,6300
pooled,2,spectral_flux,0.5975229335559185,0.07604907158259515,0.5214738619733233,6300
pooled,2,alpha_ratio,0.26303038794576494,0.07635311964424789,0.18667726830151704,6300
pooled,2,LHR,0.36104261900918644,0.07614248612123917,0.28490013288794724,6300
pooled,2,SPI,0.4390825403453462,0.07644067245862325,0.362641867886723,6300
pooled,2,GNE,0.3717816002104044,0.07638206455356741,0.29539953565683696,6300
pooled,2,SSPF,0.5095989364183264,0.0850753777905367,0.42452355862778973,5935
pooled,2,CPP,0.4347749158170018,0.07609272436851362,0.3586821914484882,6300
pooled,2,dCPP,0.21412870520209637,0.07630368099088759,0.1378250242112088,6300
pooled,2,RMS,0.6262166465943029,0.07607366722670139,0.5501429793676015,6300
pooled,2,AMD,0.1878441185917783,0.0766825085750818,0.1111616100166965,6300
pooled,2,speech_rate,0.25675517448991414,0.07625012068040053,0.1805050538095136,6300
pooled,2,VOT,0.12209592686295778,0.0824300411355086,0.03966588572744918,6062
pooled,2,BGD,0.09720308324009785,0.07661317288389208,0.020589910356205776,6300
pooled,3,F0,1.3426525567171028,0.1589256498223586,1.1837269068947442,6300
pooled,3,jitter,0.4787940764380263,0.15872837633652295,0.32006570010150337,6300
pooled,3,shimmer,0.4843189786348461,0.15805507621838671,0.32626390241645936,6300
pooled,3,GCT,0.9108624463034829,0.15805792992460466,0.7528045163788782,6300
pooled,3,CQ,0.7063455765838942,0.15826394309502193,0.5480816334888723,6300
pooled,3,MFDR,0.9505375426345708,0.15884150291636487,0.7916960397182059,6300
pooled,3,SQ,0.4277279298621046,0.15928728876039003,0.2684406411017146,6300
pooled,3,NAQ,0.4857442912877339,0.158206942330838,0.3275373489568959,6300
pooled,3,SHR,1.2775447749452091,0.15865102006387669,1.1188937548813325,6300
pooled,3,IHI,1.1032901937927448,0.15833665470814492,0.9449535390845999,6300
pooled,3,VFI,0.6639377886241906,0.24308624168430207,0.4208515469398886,6300
pooled,3,semitone_SD_F0,0.6030534877465268,0.15838103564578407,0.4446724521007427,6300
pooled,3,F1,0.5366439778087297,0.15869730926909895,0.37794666853963077,6300
pooled,3,F2,0.4912984470918147,0.15710472699141587,0.33419372010039883,6300
pooled,3,F3,0.8735197331694096,0.15913797927404003,0.7143817538953695,6300
pooled,3,F4,1.0776038591371915,0.1586658552395436,0.9189380038976479,6300
pooled,3,F5,0.9317115149869846,0.15856417948973353,0.773147335497251,6300
pooled,3,B1,0.6021915146051224,0.15837924043300294,0.4438122741721195,6300
pooled,3,B2,0.8145383634166965,0.15814289015796157,0.6563954732587349,6300
pooled,3,B3,0.5339264315234438,0.15841601854825155,0.3755104129751922,6300
pooled,3,B4,0.5385386570482815,0.15864267297760193,0.3798959840706796,6300
pooled,3,B5,0.523534366191889,0.15880331283639737,0.3647310533554916,6300
pooled,3,Nasality,0.4633543530699562,0.1635609997090951,0.2997933533608611,6195
pooled,3,spectral_skewness,0.49688171911512313,0.1593295735570808,0.33755214555804236,6288
pooled,3,spectral_kurtosis,0.4711067941102769,0.15855444355131484,0.312552350558962,6300
pooled,3,spectral_entropy,0.502828946020383,0.1585523724031295,0.3442765736172535,6300
pooled,3,spectral_rolloff,0.34688493813389343,0.1584166650653125,0.18846827306858094,6300
pooled,3,spectral_flux,0.8405566646287372,0.1582377001633682,0.6823189644653691,6300
pooled,3,alpha_ratio,0.40866241621791843,0.15863717159792076,0.25002524461999764,6300
pooled,3,LHR,0.5152521017184526,0.15846395951172657,0.35678814220672606,6300
pooled,3,SPI,0.6199002519728118,0.1589517777510661,0.4609484742217458,6300
pooled,3,GNE,0.5564730515393759,0.15834462098619603,0.3981284305531798,6300
pooled,3,SSPF,0.7077398813509639,0.17313002174876824,0.5346098596021956,5935
pooled,3,CPP,0.6123786053562252,0.15802028999330042,0.4543583153629248,6300
pooled,3,dCPP,0.3359591457592437,0.15795056785210118,0.1780085779071425,6300
pooled,3,RMS,0.9232376091352723,0.15872276631869425,0.764514842816578,6300
pooled,3,AMD,0.28755341139809154,0.1583654936077342,0.12918791779035735,6300
pooled,3,speech_rate,0.40245119190142375,0.15905002024227477,0.24340117165914898,6300
pooled,3,VOT,0.21746066749596515,0.16839128428769753,0.04906938320826762,6062
pooled,3,BGD,0.2030307434394949,0.15941025033318992,0.043620493106304975,6300
pooled,5,F0,1.7366445140359676,0.33734282190251635,1.3993016921334513,6300
pooled,5,jitter,0.6812285897292902,0.337161965498244,0.3440666242310462,6300
pooled,5,shimmer,0.6946648157086948,0.3376740602245117,0.3569907554841831,6300
pooled,5,GCT,1.1701559374788904,0.33646233259357494,0.8336936048853154,6300
pooled,5,CQ,0.9353355483156225,0.33752094512229036,0.5978146031933321,6300
pooled,5,MFDR,1.255255687418856,0.337072521037415,0.918183166381441,6300
pooled,5,SQ,0.6179481814932704,0.3384802692841047,0.27946791220916567,6300
pooled,5,NAQ,0.6943674557445974,0.337318861311378,0.35704859443321935,6300
pooled,5,SHR,1.6066247592839096,0.3371075855259679,1.2695171737579416,6300
pooled,5,IHI,1.4346011042066271,0.33641672184865046,1.0981843823579767,6300
pooled,5,VFI,0.8718399598055413,0.42345430695636777,0.44838565284917353,6300
pooled,5,semitone_SD_F0,0.8303149390683693,0.33730626039146655,0.49300867867690273,6300
pooled,5,F1,0.7204218864044147,0.3363252338195519,0.3840966525848628,6300
pooled,5,F2,0.7084970306944101,0.3357031335393364,0.37279389715507366,6300
pooled,5,F3,1.139237480100613,0.33726813990038,0.801969340200233,6300
pooled,5,F4,1.3998254350251713,0.33779927564159445,1.062026159383577,6300
pooled,5,F5,1.2323396764933943,0.3378758180443235,0.8944638584490707,6300
pooled,5,B1,0.8325673917875456,0.3362842512050986,0.496283140582447,6300
pooled,5,B2,1.0531253976686088,0.33689819348845856,0.7162272041801503,6300
pooled,5,B3,0.7457776146195627,0.3374713514665549,0.40830626315300783,6300
pooled,5,B4,0.762168505571676,0.3376058066137109,0.4245626989579651,6300
pooled,5,B5,0.7475903104724857,0.3373438308992692,0.41024647957321647,6300
pooled,5,Nasality,0.6629377191560266,0.34743324973167544,0.3155044694243512,6195
pooled,5,spectral_skewness,0.6880603618068548,0.33970772576090114,0.3483526360459537,6288
pooled,5,spectral_kurtosis,0.6706942701034997,0.33683419247703644,0.33386007762646325,6300
pooled,5,spectral_entropy,0.7012566478949402,0.3374026115756707,0.36385403631926955,6300
pooled,5,spectral_rolloff,0.5414025122528976,0.338194835496743,0.2032076767561546,6300
pooled,5,spectral_flux,1.1275062096569641,0.33710764448958047,0.7903985651673837,6300
pooled,5,alpha_ratio,0.6232354376687894,0.3362421210142837,0.2869933166545057,6300
pooled,5,LHR,0.7368191653241745,0.33789882651586167,0.3989203388083128,6300
pooled,5,SPI,0.8621323486043764,0.3374638179438479,0.5246685306605285,6300
pooled,5,GNE,0.7713109933447413,0.3368291335319231,0.43448185981281817,6300
pooled,5,SSPF,0.9468585567746395,0.36536246402832745,0.581496092746312,5935
pooled,5,CPP,0.8364659222232103,0.3376520110390993,0.49881391118411095,6300
pooled,5,dCPP,0.5140795806313729,0.33699880225529355,0.17708077837607938,6300
pooled,5,RMS,1.21771264829348,0.3368840892498033,0.8808285590436766,6300
pooled,5,AMD,0.47106796003504314,0.337733094377201,0.13333486565784214,6300
pooled,5,speech_rate,0.5899167299502928,0.33835845291394406,0.2515582770363487,6300
pooled,5,VOT,0.4138706020608556,0.3560780518395832,0.05779255022127239,6062
pooled,5,BGD,0.37717448640382933,0.3375363697738834,0.03963811662994593,6300
pooled,10,F0,2.2629817808250596,0.7692250383810001,1.4937567424440594,6300
pooled,10,jitter,1.0674036901514743,0.769385982728555,0.29801770742291933,6300
pooled,10,shimmer,1.0701428393629655,0.7682516469154916,0.30189119244747387,6300
pooled,10,GCT,1.5096164015535383,0.7686681770054995,0.7409482245480388,6300
pooled,10,CQ,1.2861138306803106,0.7679723207097199,0.5181415099705907,6300
pooled,10,MFDR,1.6018292338330902,0.7687216986739542,0.8331075351591359,6300
pooled,10,SQ,1.0198387554621284,0.7697714919932364,0.2500672634688921,6300
pooled,10,NAQ,1.0610296481182306,0.7679781402444251,0.2930515078738055,6300
pooled,10,SHR,2.0091652007911014,0.7687063594655968,1.2404588413255047,6300
pooled,10,IHI,1.8078397422814252,0.7673997369584772,1.0404400053229481,6300
pooled,10,VFI,1.2378406507990753,0.8457237883870014,0.392116862412074,6300
pooled,10,semitone_SD_F0,1.2126959037846685,0.7693552920464778,0.4433406117381907,6300
pooled,10,F1,1.089834952713419,0.7677375909418361,0.3220973617715829,6300
pooled,10,F2,1.0742816535151345,0.7668550340633375,0.30742661945179695,6300
pooled,10,F3,1.495949455504694,0.768242717067526,0.7277067384371679,6300
pooled,10,F4,1.7411669830347227,0.7689872999420767,0.972179683092646,6300
pooled,10,F5,1.5923315386335464,0.768911243120655,0.8234202955128914,6300
pooled,10,B1,1.2162311980840208,0.7675576281385729,0.44867356994544794,6300
pooled,10,B2,1.3801661707171133,0.7680197725977067,0.6121463981194066,6300
pooled,10,B3,1.1224664758706524,0.7680993191680239,0.3543671567026285,6300
pooled,10,B4,1.1374087332555334,0.7685297878600157,0.3688789453955177,6300
pooled,10,B5,1.145114482348589,0.7686614861390076,0.3764529962095814,6300
pooled,10,Nasality,1.0454699277833281,0.7840254297374663,0.2614444980458619,6195
pooled,10,spectral_skewness,1.069305332390174,0.7709376963470816,0.29836763604309235,6288
pooled,10,spectral_kurtosis,1.057849048403078,0.7680552335156046,0.28979381488747347,6300
pooled,10,spectral_entropy,1.0836761676480702,0.7695392279760995,0.31413693967197065,6300
pooled,10,spectral_rolloff,0.9567104984695032,0.7680518107545845,0.18865868771491867,6300
pooled,10,spectral_flux,1.4748855967674288,0.7682108051487855,0.7066747916186433,6300
pooled,10,alpha_ratio,1.0044666557055244,0.7666953187326265,0.23777133697289787,6300
pooled,10,LHR,1.105846942644451,0.7683186584731899,0.33752828417126113,6300
pooled,10,SPI,1.2423951784271026,0.7691671738655134,0.4732280045615892,6300
pooled,10,GNE,1.1497056395901133,0.768486226838022,0.38121941275209126,6300
pooled,10,SSPF,1.3158856447155483,0.8158092750174343,0.500076369698114,5935
pooled,10,CPP,1.2137132340480719,0.7678819462792592,0.44583128776881265,6300
pooled,10,dCPP,0.9175182221304148,0.768745892349893,0.1487723297805218,6300
pooled,10,RMS,1.5785404904788933,0.7682472088364559,0.8102932816424374,6300
pooled,10,AMD,0.8795301605354773,0.7679580680637826,0.11157209247169464,6300
pooled,10,speech_rate,0.9745046252412699,0.769156305630219,0.20534831961105093,6300
pooled,10,VOT,0.84132474165345,0.7995463705006078,0.04177837115284211,6062
pooled,10,BGD,0.8000561501559904,0.7682287411521906,0.03182740900379977,6300
within_F,2,F0,0.645679740583633,0.07624428425800657,0.5694354563256264,1920
within_F,2,jitter,0.2684680756565694,0.07674022570772569,0.19172784994884368,1920
within_F,2,shimmer,0.21146527162187656,0.07616335795428078,0.13530191366759578,1920
within_F,2,GCT,0.33887672798113755,0.07601393757239976,0.2628627904087378,1920
within_F,2,CQ,0.2726519966096035,0.07619133026442869,0.19646066634517478,1920
within_F,2,MFDR,0.5855085553599242,0.07543656860008756,0.5100719867598367,1920
within_F,2,SQ,0.3528541246620618,0.07652101100544542,0.2763331136566164,1920
within_F,2,NAQ,0.27309969421503943,0.07645076061251434,0.1966489336025251,1920
within_F,2,SHR,0.4256722447057779,0.07570235757239818,0.34996988713337973,1920
within_F,2,IHI,0.5274080712865974,0.07702167446908295,0.45038639681751447,1920
within_F,2,VFI,0.4276500556326841,0.16055310091559588,0.2670969547170882,1920
within_F,2,semitone_SD_F0,0.316645412107766,0.07745960813993795,0.23918580396782801,1920
within_F,2,F1,0.1671188753874535,0.07553455557732285,0.09158431981013067,1920
within_F,2,F2,0.189286680932355,0.07610645388974108,0.11318022704261393,1920
within_F,2,F3,0.34833179092217037,0.07600754867681139,0.272324242245359,1920
within_F,2,F4,0.5119080311563842,0.07625669701438864,0.4356513341419955,1920
within_F,2,F5,0.45398281558526943,0.07541750270460126,0.3785653128806682,1920
within_F,2,B1,0.3452832548652207,0.07588345485235161,0.2693998000128691,1920
within_F,2,B2,0.2849603924067097,0.07669173876588176,0.20826865364082792,1920
within_F,2,B3,0.3763558687721211,0.07816160725697564,0.2981942615151455,1920
within_F,2,B4,0.33368384486788205,0.0762025883117187,0.2574812565561634,1920
within_F,2,B5,0.30667712025465743,0.07523261085729854,0.2314445093973589,1920
within_F,2,Nasality,0.26940414061704576,0.0791960276158712,0.19020811300117457,1905
within_F,2,spectral_skewness,0.3437098537022596,0.07791831281617535,0.26579154088608425,1913
within_F,2,spectral_kurtosis,0.3505987309605638,0.07627837982344385,0.27432035113711994,1920
within_F,2,spectral_entropy,0.2988379303003281,0.07573112993058778,0.22310680036974034,1920
within_F,2,spectral_rolloff,0.16555013600420665,0.07532062526002441,0.09022951074418224,1920
within_F,2,spectral_flux,0.585051886082578,0.07595190115193465,0.5090999849306433,1920
within_F,2,alpha_ratio,0.18194882050366523,0.07611233070575996,0.10583648979790528,1920
within_F,2,LHR,0.37324729637620546,0.07535994443580245,0.297887351940403,1920
within_F,2,SPI,0.2911993619422315,0.07670857104563146,0.21449079089660006,1920
within_F,2,GNE,0.34846123798527984,0.07536091772043202,0.2731003202648478,1920
within_F,2,SSPF,0.24755391350450218,0.0849673917911678,0.16258652171333438,1810
within_F,2,CPP,0.3608308782611509,0.07623881353403608,0.28459206472711485,1920
within_F,2,dCPP,0.19544721642573037,0.07703355966381963,0.11841365676191075,1920
within_F,2,RMS,0.613510983633585,0.07575694777194288,0.5377540358616422,1920
within_F,2,AMD,0.20745941595243167,0.07709568373326299,0.1303637322191687,1920
within_F,2,speech_rate,0.2446305403736302,0.076552221623175,0.1680783187504552,1920
within_F,2,VOT,0.11409546307857177,0.08054044758658212,0.03355501549198965,1858
within_F,2,BGD,0.10584857443944529,0.07604736828059354,0.029801206158851748,1920
within_F,3,F0,0.9354293770962032,0.15794442614941942,0.7774849509467838,1920
within_F,3,jitter,0.43010766876373463,0.15755161646720184,0.2725560522965328,1920
within_F,3,shimmer,0.34723731882807307,0.15757599778564862,0.18966132104242445,1920
within_F,3,GCT,0.4927593410650548,0.15926397636950432,0.3334953646955505,1920
within_F,3,CQ,0.41542519387214494,0.15759202740064576,0.2578331664714992,1920
within_F,3,MFDR,0.8787564756880464,0.15741441852189061,0.7213420571661557,1920
within_F,3,SQ,0.5115090537296858,0.15571773647279297,0.35579131725689284,1920
within_F,3,NAQ,0.4313635306559842,0.158642728099912,0.27272080255607223,1920
within_F,3,SHR,0.6360682036668255,0.1562760592092942,0.47979214445753127,1920
within_F,3,IHI,0.7534272353159519,0.1582970996379117,0.5951301356780402,1920
within_F,3,VFI,0.5805747101402972,0.24502598453922697,0.3355487256010702,1920
within_F,3,semitone_SD_F0,0.49309980992974545,0.1584376223492951,0.33466218758045035,1920
within_F,3,F1,0.2629073642398012,0.15808590064171876,0.10482146359808245,1920
within_F,3,F2,0.29529871773630223,0.1575314138524193,0.13776730388388292,1920
within_F,3,F3,0.536952774703332,0.15739764677170562,0.3795551279316264,1920
within_F,3,F4,0.7220239966199831,0.1601372348482053,0.5618867617717778,1920
within_F,3,F5,0.6833899261070009,0.15801939377858445,0.5253705323284165,1920
within_F,3,B1,0.5439148554779951,0.15805252605735023,0.3858623294206449,1920
within_F,3,B2,0.4307855005068344,0.1585767199973721,0.2722087805094623,1920
within_F,3,B3,0.5809629270104804,0.15923932037997354,0.4217236066305068,1920
within_F,3,B4,0.48009541482837115,0.15814538635171987,0.3219500284766513,1920
within_F,3,B5,0.4636437978637673,0.15802741626477781,0.3056163815989895,1920
within_F,3,Nasality,0.3880635921086002,0.16196096780170122,0.22610262430689898,1905
within_F,3,spectral_skewness,0.471874322181292,0.15869572245858465,0.31317859972270734,1913
within_F,3,spectral_kurtosis,0.5214497439647374,0.1582511899083999,0.3631985540563375,1920
within_F,3,spectral_entropy,0.47667210429559503,0.15574968417644602,0.320922420119149,1920
within_F,3,spectral_rolloff,0.30230760574930926,0.15727727614386267,0.1450303296054466,1920
within_F,3,spectral_flux,0.8335443876600728,0.15812241342326183,0.6754219742368109,1920
within_F,3,alpha_ratio,0.3261584855107671,0.15850158267238107,0.16765690283838602,1920
within_F,3,LHR,0.5212272089313403,0.15715376465688113,0.3640734442744592,1920
within_F,3,SPI,0.442918095984445,0.15684976792508362,0.28606832805936133,1920
within_F,3,GNE,0.523957437252605,0.15826854973422208,0.3656888875183829,1920
within_F,3,SSPF,0.42366623456950325,0.17138810878792413,0.25227812578157915,1810
within_F,3,CPP,0.5396747491955214,0.15582864881258515,0.3838461003829362,1920
within_F,3,dCPP,0.312855206810843,0.15752577986160202,0.15532942694924098,1920
within_F,3,RMS,0.9452319408650851,0.15856332683305424,0.7866686140320309,1920
within_F,3,AMD,0.30565951420309645,0.15785364055823667,0.14780587364485978,1920
within_F,3,speech_rate,0.3766950980315489,0.15791079139887088,0.218784306632678,1920
within_F,3,VOT,0.21537595098291895,0.16417868074163894,0.05119727024128001,1858
within_F,3,BGD,0.20692045489545663,0.1572027285689896,0.04971772632646704,1920
within_F,5,F0,1.3096114081661385,0.3375487487343925,0.9720626594317461,1920
